,,Rater 1: Thea,Rater 2: Merv,Rater 3: Jeng,Rater 4: James
Test product 1 Different Shop,1,1,1,1,1
,2,1,1,1,1
,3,0,1,1,1
,4,1,1,1,1
,5,0,0,0,0
,6,0,0,1,0
,7,0,0,0,0
,8,1,1,1,1
,9,0,0,0,0
,10,0,1,1,0
Test product 1 Same Shop,1,0,1,1,1
,2,1,1,1,0
,3,1,1,0,1
,4,1,1,1,1
,5,1,1,1,1
Test product 2 Different Shop,1,1,1,1,1
,2,1,1,1,1
,3,0,1,1,1
,4,0,1,1,1
,5,1,1,1,1
,6,1,1,1,1
,7,1,1,1,1
,8,1,1,1,1
,9,1,1,1,1
,10,1,1,1,1
Test product 2 Same Shop,1,1,0,1,1
,2,1,1,1,1
,3,1,1,1,1
,4,0,1,1,1
,5,1,1,0,1
